Subject,Drug,Treatment,Trial,Type,TimeNearStimulus,AbsoluteTurnAngle,Speed,Freezing
PS3,pCPA,SA,16,1,32.7658219843676,20.3413046166611,1.12967078676832,1
PS3,pCPA,SA,17,0,8.3329669813811,20.4873315934855,4.94134187547751,0
PS3,pCPA,SA,18,1,40.2088133084173,25.4869458246963,9.37145313971857,0
PS3,pCPA,SA,19,0,6.03893107809903,23.742370210512,8.40206324242757,1
PS3,pCPA,SA,20,1,56.9492442841925,29.0139440067685,1.47987175083611,2
PS4,pCPA,SA,1,0,4.50664199020646,13.2967869893635,2.75961898032788,0
PS4,pCPA,SA,2,0,1.78903718170936,21.6462863938895,6.90610682844414,1
PS4,pCPA,SA,3,0,8.63587912337259,10.6763794167597,9.754835620056,2
PS4,pCPA,SA,4,1,46.4202431154508,22.5494837063437,7.20030112670722,3
PS4,pCPA,SA,5,0,5.65100674717561,14.1936349244052,10.1434157100609,0
PS4,pCPA,SA,6,1,40.1465399987305,12.8856974558757,2.23925992404268,1
PS4,pCPA,SA,7,0,2.4262413096903,12.502277832504,5.84317234727654,0
PS4,pCPA,SA,8,1,38.9669631094746,15.4216763692695,6.12022535995369,2
PS4,pCPA,SA,9,0,5.6473765691572,19.2366843306453,8.36676519983735,0
PS4,pCPA,SA,10,1,42.3303731463587,14.6521621666819,6.23793761946858,3
PS4,pCPA,SA,11,0,5.60556340246607,10.9938803052408,1.43340508829899,3
PS4,pCPA,SA,12,1,31.1123551184453,20.4215380523729,9.37848994149824,1
PS4,pCPA,SA,13,0,4.36820052162176,17.1454073493727,8.62768952463427,1
PS4,pCPA,SA,14,1,45.3186957524354,27.1282660285357,9.77456218841649,0
PS4,pCPA,SA,15,0,1.34354466024802,30.5221478732682,1.53393489265522,2
PS4,pCPA,SA,16,1,52.6782098585038,16.6902594620263,5.34374670115759,0
PS4,pCPA,SA,17,0,10.9024440427203,18.3272946149431,4.25700550462754,1
PS4,pCPA,SA,18,1,41.0149166948537,29.6413773206649,2.34546700552333,0
PS4,pCPA,SA,19,0,7.597280486957,25.606434054289,10.1641454762256,1
PS4,pCPA,SA,20,1,40.7901442622997,21.7366409609825,2.37743101031431,1
PS5,pCPA,SA,1,0,8.93279238968584,14.9874785103668,7.34546175953671,2
PS5,pCPA,SA,2,0,5.26700955554887,25.5182496712043,7.38512488413855,1
PS5,pCPA,SA,3,0,0.208281657451275,12.3489180649978,1.11395329199143,3
PS5,pCPA,SA,4,1,41.9467368423119,25.3484260648426,7.31623405595199,2
